id_osoby;imie;nazwisko;pochodzenie;miasto;adres;kod_pocztowy;numer_telefonu;pesel;zawod
OSOBA_1;Marek;Stochel;Norwegian;Przemyśl;77 Rajska;57-757;+48 710 919 315;65225740275;Księgowy
OSOBA_2;Stefan;Krzyszczak;English;Sopot;59 Rynek;52-524;+48 38 599 25 65;12533729286;Bibliotekarz dyplomowany
OSOBA_3;Dominik;Neubauer;Portugal;Ostrowiec Świętokrzyski;94 Zachodnia;93-217;+48 82 140 50 72;75340664824;Kurator sztuki
OSOBA_4;Dawid;Matraszek;English;Białogard;49 Zielna;92-271;+48 884 389 471;25797543942;Instruktor
OSOBA_5;Dorota;Pik;Polish;Ełk;19 Torowa;56-489;+48 842 376 395;60239906815;Technik kelner
OSOBA_6;Angelika;Bytner;Finnish;Kraków;06 Cyprysowa;64-081;+48 49 529 21 28;63280771073;Koniarze
OSOBA_7;Julianna;Gołoś;Polish;Dąbrowa Górnicza;76 Szpitalna;61-588;+48 828 889 377;24785129489;Makler papierów wartościowych
OSOBA_8;Oskar;Ulfik;Persian;Środa Wielkopolska;57 Nadrzeczna;20-836;+48 20 141 89 89;92809291780;Służący
OSOBA_9;Gaja;Paszkowiak;Polish;Łaziska Górne;30 Widokowa;26-719;+48 618 741 485;47934427812;Makler nadzorujący
OSOBA_10;Apolonia;Putek;Polish;Zawiercie;66 Sadowa;75-820;+48 774 893 859;99071848455;Pucybut
OSOBA_11;Ksawery;Skrobek;Spanish;Reda;92 Mlynska;77-072;+48 738 572 141;43402801182;Technik awionik
OSOBA_12;Kornel;Dworniczak;Korean;Gliwice;76 Jarzebinowa;82-083;+48 877 850 467;91097499293;Rzeczoznawca
OSOBA_13;Liwia;Chachuła;Australia;Nysa;47 Bukowa;02-820;+48 775 075 312;13179160627;Biegły rewident
OSOBA_14;Rozalia;Cuch;Mexico;Zabrze;20 Kowalska;08-749;+48 78 057 12 94;68071274490;Szatniarz
