id_konta;id_podmiotu;numer_konta;nazwa_banku
KONTO_P_1;PODMIOT_1;37 5265 0767 9901 7224 6694;RCI Banque
KONTO_P_2;PODMIOT_1;16 5140 7874 9365 3955 8599;Bank Handlowy
KONTO_P_3;PODMIOT_1;37 1496 4477 7236 3353 3582;Banif Plus Bank
KONTO_P_4;PODMIOT_1;63 4209 6668 3195 7942 8382;EUROCLEAR Bank
KONTO_P_5;PODMIOT_2;16 0217 0782 9271 9131 2763;CAIXABANK
KONTO_P_6;PODMIOT_3;83 2533 3970 3753 8106 7759;Euro Bank
KONTO_P_7;PODMIOT_3;17 7761 4243 8062 3765 8664;Bank BGŻ BNP Paribas
KONTO_P_8;PODMIOT_4;97 0742 5586 5975 4395 1440;Volkswagen Bank Polska
KONTO_P_9;PODMIOT_4;84 2237 5698 9265 7905 9052;DNB Bank Polska
KONTO_P_10;PODMIOT_4;68 7874 8986 7884 8723 5745;RCI Banque
KONTO_P_11;PODMIOT_5;19 2436 8281 5114 8840 1112;Powszechna Kasa Oszczędności Bank Polski SA (Inteligo)
KONTO_P_12;PODMIOT_5;35 1325 4781 7462 7894 7526;Bank BGŻ BNP Paribas
KONTO_P_13;PODMIOT_6;52 7834 5386 0986 4012 7065;Bank Polska Kasa Opieki
KONTO_P_14;PODMIOT_7;64 6082 0279 1571 2239 9591;Danske Bank
KONTO_P_15;PODMIOT_7;33 5984 3631 9069 2886 1282;Deutsche Bank Polska
KONTO_P_16;PODMIOT_7;93 1641 2739 2808 4840 8415;Volkswagen Bank Polska
KONTO_P_17;PODMIOT_7;92 8030 9892 7201 0146 6546;Nykredit Realkredit
KONTO_P_18;PODMIOT_7;12 0179 0718 9468 4127 6430;Volkswagen Bank Polska
KONTO_P_19;PODMIOT_8;80 2674 3210 6210 9173 5236;Nordea Bank
KONTO_P_20;PODMIOT_8;45 3286 9945 5964 2079 6856;Bank of China
KONTO_P_21;PODMIOT_8;53 2931 4474 4886 7694 7793;BNP Paribas Securities Services
KONTO_P_22;PODMIOT_8;28 4264 5172 6612 5469 4822;Euro Bank
KONTO_P_23;PODMIOT_9;92 9923 2454 0399 1743 7930;Mercedes-Benz Bank Polska
KONTO_P_24;PODMIOT_9;63 0663 2564 7111 1037 0773;Bank Ochrony Środowiska
KONTO_P_25;PODMIOT_9;98 6914 7143 9146 0396 4556;Banif Plus Bank
KONTO_P_26;PODMIOT_9;27 3321 5110 4164 7342 1168;BNP Paribas Securities Services
KONTO_P_27;PODMIOT_9;97 3176 1602 0202 0278 7195;Bank Millennium
KONTO_P_28;PODMIOT_10;69 0917 1670 0140 9389 2801;Bank Millennium
KONTO_P_29;PODMIOT_11;67 1297 7118 8107 0585 6961;PKO Bank Hipoteczny
KONTO_P_30;PODMIOT_11;22 0922 1802 1955 5055 6624;Bank Millennium
KONTO_P_31;PODMIOT_12;84 1871 6219 4722 4246 8089;Euro Bank
KONTO_P_32;PODMIOT_12;91 9558 7168 9277 4120 4231;Ikano Bank
KONTO_P_33;PODMIOT_12;11 8737 0547 1381 1258 4841;Fiat Bank Polska
KONTO_P_34;PODMIOT_13;84 5069 0812 6688 3577 9203;Western Union
KONTO_P_35;PODMIOT_13;97 2202 8939 7155 3079 8643;Intesa Sanpaolo
KONTO_P_36;PODMIOT_13;90 2016 4019 4293 1835 1348;Santander Consumer Bank
KONTO_P_37;PODMIOT_14;61 6361 1279 3338 0275 0866;Aareal Bank
KONTO_P_38;PODMIOT_14;59 9898 9989 6149 9328 3264;EUROCLEAR Bank
KONTO_P_39;PODMIOT_14;74 7943 5791 2162 2633 5104;Deutsche Bank Polska
KONTO_P_40;PODMIOT_14;10 8235 0704 6836 8479 9573;DNB Bank Polska
KONTO_P_41;PODMIOT_14;24 7606 1247 3231 6133 8004;PKO Bank Hipoteczny
KONTO_P_42;PODMIOT_15;97 7258 1599 2469 7021 0342;Bank of China
KONTO_P_43;PODMIOT_15;19 0263 3695 0584 5842 6684;Bank Millennium
KONTO_P_44;PODMIOT_16;92 9191 4330 4710 4060 3105;RBS Bank
KONTO_P_45;PODMIOT_16;99 9938 1088 2832 3504 3997;ING Bank Śląski
KONTO_P_46;PODMIOT_16;99 1892 5043 8532 7112 5821;Deutsche Bank Polska
KONTO_P_47;PODMIOT_16;28 0654 7081 0481 8714 4545;Banif Plus Bank
KONTO_P_48;PODMIOT_17;23 3863 2282 5076 7088 2385;Industrial and Commercial Bank of China
KONTO_P_49;PODMIOT_17;44 2845 5176 3445 0140 2891;Vanquis Bank
KONTO_P_50;PODMIOT_17;53 8362 1574 4328 8116 9789;Industrial and Commercial Bank of China
KONTO_P_51;PODMIOT_17;29 9254 8437 1577 5345 7997;BNP Paribas Securities Services
KONTO_P_52;PODMIOT_17;20 3486 9386 3231 7179 5378;Nordea Bank
KONTO_P_53;PODMIOT_18;42 6889 8680 0815 3073 9452;Bank BGŻ BNP Paribas
KONTO_P_54;PODMIOT_18;39 5250 0718 4671 0409 8562;Fiat Bank Polska
KONTO_P_55;PODMIOT_18;44 0089 7332 9325 4428 2180;Volkswagen Bank Polska
KONTO_P_56;PODMIOT_19;77 9225 0498 6631 8797 7883;Idea Bank
KONTO_P_57;PODMIOT_19;94 5750 8311 8792 6651 6566;UBS
KONTO_P_58;PODMIOT_19;34 2062 0319 3146 9753 6969;PKO Bank Hipoteczny
KONTO_P_59;PODMIOT_20;80 0664 5394 2058 9792 4859;Sygma Banque
KONTO_P_60;PODMIOT_20;82 4926 8631 9425 7219 7312;Toyota Bank Polska
KONTO_P_61;PODMIOT_20;32 1052 1101 6445 0396 4346;Bank Ochrony Środowiska
KONTO_P_62;PODMIOT_21;50 1398 0502 1313 1621 7482;Bank Ochrony Środowiska
KONTO_P_63;PODMIOT_21;20 2441 7722 1861 4943 1043;BPI Bank Polskich Inwestycji
KONTO_P_64;PODMIOT_21;93 8183 3974 4072 3112 3798;Pekao Bank Hipoteczny
KONTO_P_65;PODMIOT_21;74 7692 0211 1604 2284 3136;Euro Bank
KONTO_P_66;PODMIOT_21;60 1098 1573 1123 8232 1388;Bank of Tokyo-Mitsubishi UFJ Polska
KONTO_P_67;PODMIOT_22;36 4697 3795 3975 6606 5977;BNP Paribas Securities Services
KONTO_P_68;PODMIOT_22;32 6855 8988 7397 0468 3824;Intesa Sanpaolo
KONTO_P_69;PODMIOT_23;95 0873 0866 6240 0216 4453;Fiat Bank Polska
KONTO_P_70;PODMIOT_24;41 4277 6056 6658 6403 4638;Credit Agricole Bank Polska
KONTO_P_71;PODMIOT_25;32 6688 2620 3673 0673 4182;Sygma Banque
KONTO_P_72;PODMIOT_25;75 6992 0620 5516 4906 2285;Danske Bank
KONTO_P_73;PODMIOT_25;17 1983 6767 1668 4448 5501;BNP Paribas Securities Services
KONTO_P_74;PODMIOT_26;23 7278 3865 2462 2190 3582;Raiffeisen Polbank
KONTO_P_75;PODMIOT_27;89 4882 1961 6819 9692 3790;Haitong Bank, S.A., Oddział w Polsce
KONTO_P_76;PODMIOT_27;71 2160 3216 5289 6001 5360;Bank BPH
KONTO_P_77;PODMIOT_27;94 8500 7550 8209 5786 3718;Toyota Bank Polska
KONTO_P_78;PODMIOT_28;58 9064 6937 6426 2619 2269;Svenska Handelsbanken
KONTO_P_79;PODMIOT_28;70 0424 0910 9654 2965 4634;Industrial and Commercial Bank of China
KONTO_P_80;PODMIOT_28;17 8046 6527 4305 3053 8559;Raiffeisen Polbank
KONTO_P_81;PODMIOT_28;69 6500 4386 7765 6484 3961;Industrial and Commercial Bank of China
