id_podmiotu;kod_pocztowy;miejscowosc;ulica;telefon_kontaktowy;adres_mail_kontaktowy;mieszkanie_prywatne;zgloszony_wynajem;kraj
PODMIOT_1;48-515;Siedlce;ul. Lanowa;+ 48 3549851916;cspado@example.org;Nie;Tak;Polish
PODMIOT_2;44-961;Sandomierz;ul. Cmentarna;+ 48 2636080475;micha40@example.com;Nie;Tak;Polish
PODMIOT_3;50-622;Inowrocław;ul. Poznanska;+ 48 7293706075;artur09@example.org;Nie;Tak;Polish
PODMIOT_4;31-919;Rybnik;ul. Skosna;+ 48 1628300602;szpila.tymoteusz@example.com;Nie;Tak;Polish
PODMIOT_5;70-938;Żywiec;ul. Pólnocna;+ 48 7753053335;alan.henke@example.net;Nie;Tak;Polish
PODMIOT_6;82-608;Bartoszyce;ul. Piaskowa;+ 48 9821904710;yserzysko@example.net;Nie;Tak;Polish
PODMIOT_7;01-476;Lębork;ul. Wczasowa;+ 48 9286391055;nmatwiejczyk@example.com;Tak;Tak;Polish
PODMIOT_8;01-003;Biłgoraj;ul. Nadrzeczna;+ 48 6334923709;ida48@example.net;Tak;Tak;Polish
PODMIOT_9;61-619;Kalisz;ul. Rzeczna;+ 48 5128621876;sobstyl.maurycy@example.net;Tak;Tak;Polish
PODMIOT_10;97-059;Kalisz;ul. Reymonta;+ 48 2811988937;pkarsznia@example.net;Nie;Tak;Polish
PODMIOT_11;96-554;Środa Wielkopolska;ul. Matejki;+ 48 5033523310;klek.monika@example.com;Nie;Tak;Polish
PODMIOT_12;50-872;Luboń;ul. Irysowa;+ 48 9799369629;sysz.adam@example.net;Nie;Tak;Polish
PODMIOT_13;16-885;Płońsk;ul. Wschodnia;+ 48 2263156650;udzieak@example.org;Nie;Tak;Polish
PODMIOT_14;54-066;Mysłowice;ul. Makuszynskiego;+ 48 2401240372;cyprian.namys@example.net;Nie;Tak;Polish
PODMIOT_15;27-333;Police;ul. Jezynowa;+ 48 5180965267;apiejko@example.org;Nie;Tak;Polish
PODMIOT_16;74-372;Mińsk Mazowiecki;ul. Magnoliowa;+ 48 2121852681;switaj.fryderyk@example.net;Tak;Tak;Polish
